fullName,Player_learned_embedding,Total_Runs_Scored_per_match,Total_Runs_Scored_per_T20_match,strike_rate_Global,strike_rate_T20,avg_fours_per_T20_match,avg_sixes_per_T20_match,avg_fantasy_point_scored_in_T20_match,Balls_Played,Avg_Balls_Thrown_per_T20_match,avg_dot_balls_per_T20_match,avg_median_overs_per_T20_match,avg_run_conceded_per_T20,avg_wickets_taken_per_match,avg_economyRate_per_match,avg_fielding_FP,total_centuries,total_halftcenturies
Basil Thampi,,4.0,4.0,64.0625,64.0625,0.125,0.125,31.56,4.375,20.84,6.52,4.0,33.84,0.88,10.016,8.8,0.0,0.0
Ben Cutting,,14.0,14.0,147.58764705882353,147.58764705882353,0.8823529411764706,1.1176470588235294,37.38095238095238,8.294117647058824,16.529411764705884,4.588235294117647,3.0,25.235294117647058,0.5882352941176471,9.648235294117647,11.0,0.0,0.0
Ben Dunk,,13.333333333333334,13.333333333333334,116.59333333333332,116.59333333333332,2.3333333333333335,0.0,27.666666666666668,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
Ben Hilfenhaus,,0.0,0.0,0.0,0.0,0.0,0.0,42.470588235294116,0.0,21.88235294117647,10.823529411764707,4.0,28.176470588235293,1.2941176470588236,7.699411764705881,7.0,0.0,0.0
Ben Laughlin,,1.25,1.25,20.8325,20.8325,0.0,0.0,32.333333333333336,3.25,18.555555555555557,4.888888888888889,3.0,31.333333333333332,1.1111111111111112,9.96,8.0,0.0,0.0
Ben Rohrer,,24.125,24.125,142.32125,142.32125,2.625,0.625,40.25,17.5,6.0,1.0,1.0,12.0,0.0,12.0,8.4,0.0,1.0
Ben Stokes,,21.25,21.25,113.46227272727273,113.46227272727273,1.8409090909090908,0.7272727272727273,52.355555555555554,15.863636363636363,18.13157894736842,6.578947368421052,3.0,26.105263157894736,0.7368421052631579,8.937894736842106,10.1,2.0,2.0
Beuran Hendricks,,0.3333333333333333,0.3333333333333333,16.666666666666668,16.666666666666668,0.0,0.0,41.142857142857146,1.0,21.428571428571427,7.857142857142857,4.0,33.57142857142857,1.2857142857142858,9.01142857142857,12.0,0.0,0.0
Bhanuka Rajapaksa,,21.307692307692307,21.307692307692307,132.23538461538462,132.23538461538462,1.6923076923076923,1.1538461538461537,34.69230769230769,14.692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,0.0,1.0
Bharat Chipli,,13.333333333333334,13.333333333333334,98.62285714285714,98.62285714285714,1.3333333333333333,0.3333333333333333,20.857142857142858,11.952380952380953,6.0,1.0,1.0,20.0,0.0,20.0,8.0,0.0,1.0
Bhargav Bhatt,,3.0,3.0,150.0,150.0,0.0,0.5,27.866666666666667,3.5,19.733333333333334,6.533333333333333,3.0,26.466666666666665,0.8,8.031333333333333,0.0,0.0,0.0
Bhuvneshwar Kumar,,4.492063492063492,4.492063492063492,83.46936507936508,83.46936507936508,0.42857142857142855,0.047619047619047616,39.3,4.714285714285714,22.3,9.95625,4.0,27.475,1.0625,7.442625,8.96774193548387,0.0,0.0
Billy Stanlake,,5.0,5.0,250.0,250.0,1.0,0.0,36.833333333333336,2.0,24.0,10.666666666666666,4.0,33.333333333333336,1.1666666666666667,8.333333333333334,8.0,0.0,0.0
Biplab Samantray,,15.625,15.625,110.02,110.02,1.625,0.25,26.75,14.125,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
Bipul Sharma,,11.0,11.0,133.82529411764708,133.82529411764708,0.6470588235294118,0.5294117647058824,30.3,7.235294117647059,15.214285714285714,4.964285714285714,2.0,20.428571428571427,0.6071428571428571,8.538571428571428,10.75,0.0,0.0
Bodapati Sumanth,,8.75,8.75,124.3025,124.3025,0.75,0.0,18.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
Brad Haddin,,18.0,18.0,163.63,163.63,2.0,1.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Hodge,,22.22222222222222,22.22222222222222,106.94825396825397,106.94825396825397,1.9365079365079365,0.6825396825396826,42.703125,17.746031746031747,11.7,3.95,2.0,15.15,0.85,8.291,8.96,0.0,6.0
