season,match_id,match_name,home_team,away_team,venue,batting_team,bowling_innings,bowling_team,fullName,catching_FP,stumping_FP,direct_runout_FP,indirect_runout_FP,Fielding_FP
2023,1359523,CSK v MI,CSK,MI,"MA Chidambaram Stadium, Chepauk, Chennai",MI,1,CSK,Maheesh Theekshana,8,0,0,0,8
2023,1359523,CSK v MI,CSK,MI,"MA Chidambaram Stadium, Chepauk, Chennai",MI,1,CSK,Ravindra Jadeja,16,0,0,0,16
2023,1359523,CSK v MI,CSK,MI,"MA Chidambaram Stadium, Chepauk, Chennai",MI,1,CSK,Ruturaj Gaikwad,16,0,0,0,16
2023,1359523,CSK v MI,CSK,MI,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,2,MI,Ishan Kishan,8,0,0,0,8
2023,1359523,CSK v MI,CSK,MI,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,2,MI,Raghav Goyal,8,0,0,0,8
2023,1359522,RR v GT,RR,GT,"Sawai Mansingh Stadium, Jaipur",RR,1,GT,Hardik Pandya,8,0,0,0,8
2023,1359522,RR v GT,RR,GT,"Sawai Mansingh Stadium, Jaipur",RR,1,GT,Mohit Sharma,8,0,0,6,14
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KKR,1,SRH,Abdul Samad,16,0,0,0,16
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KKR,1,SRH,Harry Brook,8,0,0,0,8
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KKR,1,SRH,Heinrich Klaasen,8,0,0,6,14
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KKR,1,SRH,Mayank Agarwal,16,0,0,0,16
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KKR,1,SRH,T Natarajan,8,0,0,6,14
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,2,KKR,Andre Russell,16,0,0,0,16
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,2,KKR,Anukul Roy,8,0,0,0,8
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,2,KKR,Mandeep Singh,8,0,0,0,8
2023,1359521,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,2,KKR,Rahmanullah Gurbaz,16,0,0,0,16
